0,LATITUDE,LONGITUDE
423 11TH ST NW,38.0390307,-78.49368539999999
1104 GRADY AVE,38.0391066,-78.4940405
1108 GRADY AVE,38.0391649,-78.4942181
506 12TH ST NW,38.03892889999999,-78.4943069
504 12TH ST NW,38.038824,-78.4944845
502 12TH ST NW,38.0386568,-78.4943402
500 12TH ST NW,38.038556,-78.49466199999999
501 12TH ST NW,38.0386683,-78.4949728
503 12TH ST NW,38.0387455,-78.49492839999999
505 12TH ST NW,38.0388635,-78.494884
507 12TH ST NW,38.0389771,-78.4947952
509 12TH ST NW,38.0390908,-78.4947064
511 12TH ST NW,38.0392088,-78.49466199999999
515 12TH ST NW,38.0393905,-78.49453989999999
513 12TH ST NW,38.0393224,-78.49457319999999
512 13TH ST NW,38.039579,-78.4951059
510 13TH ST NW,38.0394654,-78.4951947
508 13TH ST NW,38.039311,-78.4952835
506 13TH ST NW,38.0391973,-78.4953723
502 13TH ST NW,38.0390793,-78.49541669999999
1219 GORDON AVE,38.0389337,-78.4955942
1301 GORDON AVE,38.039078,-78.4958162
1303 GORDON AVE,38.0391319,-78.4959494
507 13TH ST NW,38.0393592,-78.4957718
1305 GORDON AVE,38.0391495,-78.4961269
509 13TH ST NW,38.0395136,-78.495683
511 13TH ST NW,38.0396273,-78.4955942
523 13TH ST NW,38.0397409,-78.4955055
510 14TH ST NW,38.0399247,-78.4961269
508 14TH ST NW,38.0397659,-78.4961713
506 14TH ST NW,38.0396522,-78.49626010000001
504 14TH ST NW,38.0395342,-78.4963045
502 14TH ST NW,38.0393798,-78.4963933
1307 GORDON AVE,38.03920340000001,-78.49626010000001
500 14TH ST NW,38.0392662,-78.4964821
406 14TH ST NW,38.0385402,-78.4966733
409 13TH ST NW,38.037632,-78.496926
362 14TH ST NW,38.0377583,-78.4973255
360 14TH ST NW,38.0376402,-78.4973699
358 14TH ST NW,38.0375266,-78.4974587
354 14TH ST NW,38.0374086,-78.497503
350 14TH ST NW,38.0372541,-78.4975918
1311 JOHN ST,38.0371958,-78.4974143
1309 JOHN ST,38.0371739,-78.4971923
1305 JOHN ST,38.0371742,-78.49687370000001
0 JOHN ST,38.0368649,-78.4968052
1201 GORDON AVE,38.0384906,-78.49523909999999
1200 GORDON AVE,38.0384253,-78.49509479999999
417 12TH ST NW,38.038395,-78.49528149999999
415 12TH ST NW,38.0382753,-78.495228
413 12TH ST NW,38.03821629999999,-78.4952502
407 12TH ST NW,38.0380914,-78.49532789999999
0 12TH ST NW,38.037656,-78.4953819
401 12TH ST NW,38.0377417,-78.4955055
1 LATROBE CT,38.037861,-78.49506149999999
2 LATROBE CT,38.0378479,-78.49492839999999
3 LATROBE CT,38.0378052,-78.4948063
6 LATROBE CT,38.0376294,-78.4951947
5 LATROBE CT,38.0376162,-78.49506149999999
4 LATROBE CT,38.037563,-78.49497439999999
406-410 12TH ST NW,38.0380206,-78.4948579
1114 GORDON AVE,38.0382879,-78.49483959999999
1112 GORDON AVE,38.038234,-78.4947064
1110 GORDON AVE,38.03818,-78.49457319999999
1100 GORDON AVE,38.0380906,-78.4941848
363 11TH ST NW,38.0379861,-78.49426249999999
357 11TH ST NW,38.0378273,-78.4943069
353 11TH ST NW,38.0376365,-78.49444009999999
351 11TH ST NW,38.037563,-78.494573
345 11TH ST NW,38.0375184,-78.4944845
341 11TH ST NW,38.0372817,-78.494773
308 11TH ST NW,38.0363804,-78.4945288
318 11TH ST NW,38.0364984,-78.4944845
320 11TH ST NW,38.03658,-78.4944845
324 11TH ST NW,38.0367024,-78.4944845
332 11TH ST NW,38.0368204,-78.49444009999999
334 11TH ST NW,38.0368977,-78.4943957
336 11TH ST NW,38.0370113,-78.4943069
338 11TH ST NW,38.0371293,-78.49426249999999
340 11TH ST NW,38.0372065,-78.4942181
342 11TH ST NW,38.0373289,-78.4942181
346 11TH ST NW,38.0374426,-78.4941293
354 11TH ST NW,38.037538,-78.4940627
430 11TH ST NW,38.037715,-78.49399609999999
359 10 1/2 ST NW,38.03754,-78.4934634
357 10 1/2 ST NW,38.03748,-78.49358699999999
353 10 1/2 ST NW,38.0373356,-78.49356329999999
349 10 1/2 ST NW,38.0372719,-78.493641
345 10 1/2 ST NW,38.0371495,-78.493641
343 10 1/2 ST NW,38.0370359,-78.4937298
341 10 1/2 ST NW,38.03698199999999,-78.493841
339 10 1/2 ST NW,38.0368363,-78.49377419999999
337 10 1/2 ST NW,38.0367182,-78.4938186
331 10 1/2 ST NW,38.0366454,-78.4939074
327 10 1/2 ST NW,38.036577,-78.4940405
325 10 1/2 ST NW,38.0364546,-78.4940405
323 10 1/2 ST NW,38.036392,-78.494157
319 10 1/2 ST NW,38.0362681,-78.4942181
313-315 10 1/2 ST NW,38.0361061,-78.4943387
306 11TH ST NW,38.0362668,-78.4946176
304 11TH ST NW,38.0361123,-78.4947064
307 10 1/2 ST NW,38.0359414,-78.49431799999999
305 10 1/2 ST NW,38.0358368,-78.4943957
302 11TH ST NW,38.0360351,-78.49475079999999
1057 PAGE ST,38.0358807,-78.49483959999999
1055 PAGE ST,38.03586749999999,-78.4947064
301 10 1/2 ST NW,38.0357232,-78.4944845
1005-19 PAGE ST,38.0355673,-78.49403389999999
302-304 10 1/2 ST NW,38.0357164,-78.4939533
310 10 1/2 ST NW,38.0358746,-78.4939518
312 10 1/2 ST NW,38.035964,-78.49381699999999
314 10 1/2 ST NW,38.0360654,-78.4938186
316 10 1/2 ST NW,38.0361539,-78.4937853
320 10 1/2 ST NW,38.0362607,-78.4937298
326 10 1/2 ST NW,38.036359,-78.493612
328 10 1/2 ST NW,38.036459,-78.493555
332 10 1/2 ST NW,38.0365695,-78.4935522
334 10 1/2 ST NW,38.0366784,-78.4935189
338 10 1/2 ST NW,38.0367648,-78.4934634
340 10 1/2 ST NW,38.0368828,-78.4934191
344 10 1/2 ST NW,38.03696,-78.49337469999999
346 10 1/2 ST NW,38.0370328,-78.49328589999999
348 10 1/2 ST NW,38.0371144,-78.49328589999999
352 10 1/2 ST NW,38.0372007,-78.4932304
354 10 1/2 ST NW,38.037278,-78.493186
356 10 1/2 ST NW,38.037353,-78.4931194
347 10 1/2 ST NW,38.0374302,-78.49307499999999
1004 WEST ST,38.0373066,-78.4927532
361 10TH ST NW,38.0372031,-78.4925312
353 10TH ST NW,38.0370122,-78.4926644
351 10TH ST NW,38.036935,-78.4927088
349 10TH ST NW,38.0368578,-78.4927532
345 10TH ST NW,38.0366538,-78.4927532
341 10TH ST NW,38.036581,-78.492842
339 10TH ST NW,38.0364673,-78.4929307
329 10TH ST NW,38.0363085,-78.4929751
327 10TH ST NW,38.0362357,-78.4930639
325 10TH ST NW,38.0361133,-78.4930639
321 10TH ST NW,38.035989,-78.493147
317 10TH ST NW,38.035886,-78.4932415
315 10TH ST NW,38.0358088,-78.49328589999999
313 10TH ST NW,38.0356908,-78.4933303
311 10TH ST NW,38.0355728,-78.49337469999999
305 10TH ST NW,38.035508,-78.49342399999999
1003 PAGE ST,38.0354446,-78.4937298
1001 PAGE ST,38.0353838,-78.4936299
301 10TH ST NW,38.035354,-78.493499
235 10TH ST NW,38.035095,-78.49365399999999
1000 PAGE ST,38.03516339999999,-78.49377419999999
229 10TH ST NW,38.034955,-78.4937298
1002 PAGE ST,38.03525820000001,-78.4939074
1004 PAGE ST,38.0353077,-78.49399609999999
1006 PAGE ST,38.0353705,-78.4942181
1020 PAGE ST,38.03541999999999,-78.4943069
1010 PAGE ST,38.0354784,-78.4944845
1056 PAGE ST,38.0355323,-78.4946176
